"team","year","player_name","hometown","high_school","status"
"Iowa State",2021,"Caleb Grill","Maize, KS","Maize","Enrolled"
"Iowa State",2021,"Tristan Enaruna","Mount Pleasant, UT","Wasatch Academy","Committed"
"Kansas",2021,"Kyle Cuffe Jr.","Blairstown, NJ","Blair Academy","Enrolled"
"Kansas",2021,"Remy Martin","Chatsworth, CA","Sierra Canyon","Enrolled"
"Kansas",2021,"Joseph Yesufu","Bolingbrook, IL","Bolingbrook","Enrolled"
"Kansas",2021,"Cameron Martin","Yukon, OK","Yukon","Enrolled"
"Kansas State",2021,"Logan Landers","Cedarburg, WI","Cedarburg","Enrolled"
"Kansas State",2021,"Maximus Edwards","Stratford, CT","Our Saviour Lutheran School","Enrolled"
"Kansas State",2021,"Mark Smith","Edwardsville, IL","Edwardsville","Enrolled"
"Kansas State",2021,"Markquis Nowell","Elizabeth, NJ","St. Patrick","Enrolled"
"Oklahoma State",2021,"Tyreek Smith","Cedar Hill, TX","Trinity Leadership","Enrolled"
"TCU",2021,"Souleymane Doumbia","Corsicana, TX","Mali","Enrolled"
"TCU",2021,"Micah Peavy","Duncanville, TX","Duncanville","Enrolled"
"TCU",2021,"JaKobe Coles","Denton, TX","Guyer","Enrolled"
"TCU",2021,"Maxwell Evans","Bellaire, TX","Bellaire","Enrolled"
"Texas Tech",2021,"Mylik Wilson","Rayville, LA","Rayville","Enrolled"
"Texas Tech",2021,"KJ Allen","Monterey Park, CA","Westchester Senior","Enrolled"
"Texas Tech",2021,"Daniel Batcho","Paris","France","Enrolled"
"Texas Tech",2021,"Sardaar Calhoun","West Plains, MO",NA,"Committed"
"UCF",2021,"Darius Johnson","Alexandria, VA","Episcopal","Enrolled"
"UCF",2021,"Cheikh Mbacke Diong","Melbourne, FL","Florida Air Academy","Enrolled"
"Utah",2021,"Lazar Stefanovic","Belgrade","Serbia","Enrolled"
"Utah",2021,"Dusan Mahorcic","Niles, IL","Notre Dame College Prep","Enrolled"
"West Virginia",2021,"James Okonkwo","Mount Hope, WV","Beckley Prep Academy","Enrolled"
"West Virginia",2021,"Seth Wilson","Lorain, OH","Lorain","Enrolled"
"West Virginia",2021,"Jamel King","Uniontown, AL","Bella Vista College Preparatory School","Enrolled"
"West Virginia",2021,"Pauly Paulicap","Elmont, NY","Elmont Memorial","Enrolled"
"West Virginia",2021,"Malik Curry","Wilmington, DE","Putnam Science Academy","Enrolled"
"Arizona",2022,"Dylan Anderson","Gilbert, AZ","Perry","Enrolled"
"Arizona",2022,"Filip Borovicanin","Belgrade","Serbia","Enrolled"
"Arizona",2022,"Henri Veesaar","Tallinn","Estonia","Enrolled"
"Arizona",2022,"Courtney Ramey","Saint Louis, MO","Webster Groves","Committed"
"Arizona State",2022,"Duke Brennan","Gilbert, AZ","Hillcrest Prep","Enrolled"
"Arizona State",2022,"Malcolm Flaggs","Gilbert, AZ","Eduprize","Enrolled"
"Arizona State",2022,"Warren Washington","San Marcos, CA","Mission Hills","Enrolled"
"Baylor",2022,"Josh Ojianwuna",NA,"NBA Global Academy","Enrolled"
"Baylor",2022,"Jalen Bridges","Fairmont, WV","Fairmont","Enrolled"
"Baylor",2022,"Dantwan Grimes","Ocala, FL",NA,"Enrolled"
"Baylor",2022,"Caleb Lohner","Flower Mound, TX","Wasatch Academy","Committed"
"BYU",2022,"Jaxson Robinson","Ada, OK","Ada","Enrolled"
"BYU",2022,"Rudi Williams","Hamilton, ON",NA,"Enrolled"
"BYU",2022,"Noah Waterman","Savannah, NY","Finger Lakes Christian School","Enrolled"
"Cincinnati",2022,"Landers Nolley","Fairburn, GA","Langston Hughes","Committed"
"Cincinnati",2022,"Robert Phinisee","Lafayette, IN","Mccutcheon","Committed"
"Cincinnati",2022,"Kalu Ezikpe","Lawrenceville, GA","Discovery","Committed"
"Colorado",2022,"Joe Hurlburt","Enderlin, ND","Enderlin Area","Enrolled"
"Colorado",2022,"RJ Smith","La Verne, CA","Damien","Enrolled"
"Colorado",2022,"J'Vonne Hadley","Saint Paul, MN","Cretin-Derham Hall","Enrolled"
"Colorado",2022,"Ethan Wright","Newtonville, MA","Newton North","Enrolled"
"Houston",2022,"Jarace Walker","Bradenton, FL","IMG Academy","Enrolled"
"Houston",2022,"Mylik Wilson","Rayville, LA","Rayville","Committed"
"Houston",2022,"Sadarius Bowser","Gaffney, SC","Gaffney","Committed"
"Iowa State",2022,"Eli King","Caledonia, MN","Caledonia","Enrolled"
"Iowa State",2022,"Tamin Lipsey","Ames, IA","Ames","Enrolled"
"Iowa State",2022,"Osun Osunniyi","Putnam, CT","Putnam Science Academy","Committed"
"Iowa State",2022,"Jaren Holmes","Romulus, MI","Romulus Senior","Committed"
"Kansas",2022,"MJ Rice","Mouth Of Wilson, VA","Prolific Prep","Signed"
"Kansas State",2022,"Nae'Qwan Tomlin","Harlem, NY",NA,"Enrolled"
"Kansas State",2022,"Taj Manning","Mission, KS","La Lumiere School","Signed"
"Kansas State",2022,"Keyontae Johnson","Oak Hill, WV","Oak Hill","Committed"
"Kansas State",2022,"Desi Sills","Jonesboro, AR","Jonesboro","Committed"
"Kansas State",2022,"Cam Carter","Mouth Of Wilson, VA","Oak Hill Academy","Committed"
"Kansas State",2022,"Abayomi Iyiola","Decatur, GA","Greenforest McCalep Christian Academy","Committed"
"Oklahoma State",2022,"Quion Williams","Mansfield, TX","Mansfield Legacy","Enrolled"
"Oklahoma State",2022,"Caleb Asberry","Pflugerville, TX","Pflugerville","Committed"
"TCU",2022,"PJ Haggerty","Crosby, TX","Crosby","Enrolled"
"Texas Tech",2022,"Pop Isaacs","Mount Pleasant, UT","Coronado","Enrolled"
"Texas Tech",2022,"Robert Jennings","DeSoto, TX","Texas Alliance of Christian Athletes","Enrolled"
"Texas Tech",2022,"De'Vion Harmon","Denton, TX","Guyer","Committed"
"Texas Tech",2022,"Kerwin Walton","Hopkins, MN","Hopkins","Committed"
"Texas Tech",2022,"Malik Ondigo","Putnam, CT","Putnam Science Academy","Committed"
"UCF",2022,"Ithiel Horton","Roselle, NJ","Roselle Catholic","Enrolled"
"UCF",2022,"Brandon Suggs","Powder Springs, GA","Massanutten Military Academy","Committed"
"UCF",2022,"CJ Kelly","Bellerose, NY","Queens Of Teaching","Committed"
"Utah",2022,"Keba Keita","Mount Pleasant, UT","Wasatch Academy","Enrolled"
"Utah",2022,"Wilguens Exacte Jr.","Mexico, ME","NBA Global Academy","Enrolled"
"Utah",2022,"Luka Tarlac","Belgrade","The International School of Belgrade","Enrolled"
"Utah",2022,"Ben Carlson","Saint Paul, MN","East Ridge","Enrolled"
"West Virginia",2022,"Josiah Davis","Scott Depot, WV","Teays Valley Christian School","Enrolled"
"West Virginia",2022,"Pat Suemnick","Denmark, WI","Denmark","Enrolled"
"West Virginia",2022,"Mohamed Wague","Scotland, PA","Scotland Campus","Enrolled"
"West Virginia",2022,"Erik Stevenson","Lacey, WA","Timberline","Committed"
"Arizona",2023,"Motiejus Krivas","Siauliai","Lithuania","Enrolled"
"Arizona",2023,"Paulius Murauskas","Kaunas","Lithuania","Enrolled"
"Arizona",2023,"Conrad Martinez","Granollers","Spain","Enrolled"
"Arizona",2023,"Caleb Love","Saint Louis, MO","Christian Brothers College","Enrolled"
"Arizona",2023,"Keshad Johnson","San Leandro, CA","San Leandro","Enrolled"
"Arizona State",2023,"Akil Watson","Middletown, NY","Roselle Catholic","Enrolled"
"Arizona State",2023,"Braelon Green","Ypsilanti, MI","Southern California Academy","Enrolled"
